title,ingredients_raw,instructions,image_name,base_servings,prep_time,cook_time,taste_profile,texture_profile,memory_description,similar_dishes,substitution_options,retrieval_text
Super-Simple Overnight Porridge,"2 cups packed cooked white rice; About 5 cups chicken stock, vegetable stock, or store-bought chicken or vegetable broth; 2 cups water, plus more as needed; 3 thick slices unpeeled ginger, bruised; 2 green onions, white parts kept whole, green parts cut into thin rings; About ½ teaspoon fine sea salt; Recently ground black pepper (optional)","In a 4-quart saucepan, combine the rice, chicken stock, and water. Cover and let sit overnight at cool room temperature (around or below 60°F) or in the refrigerator. The next morning, add the ginger and the white parts of the green onions to the pot. Partially cover (a small gap is perfect to minimize evaporation and avoid a boil over) and bring to vigorous simmer over high heat. Lower the heat and gently simmer, partially covered, for 15 minutes, stirring occasionally and adjusting the heat as needed. When done, most of the liquid will have been absorbed (you-ll see little separation between the rice and liquid). Discard the ginger and green onions. Stir the pot, cover tightly, turn off the heat, and let rest for 10 minutes to finish thickening. The desired thickness of the porridge can vary according to taste; it can be rustic and thick, or elegant and thin, or somewhere in between. If needed, add a splash of water to thin or cook a little longer to thicken. Taste and season with the salt. When ready to serve, reheat the porridge to a simmer, then ladle into individual bowls. Garnish with sliced green onions and pepper. Lean, light-tasting ch?≠o responds well to fatty, salty, spicy, herbal enhancements. In addition to (or instead of) garnishing your porridge with green onion and pepper, consider the following, and feel free to mix and match. Crisp chopped bacon, a fried or soft-boiled egg, and maybe chopped kimchi for punch. Lemongrass Tempeh Crumbles or Crispy Caramelized Pork Crumbles. Chopped Sriracha Tofu, fried onions or shallots, and coarsely chopped fresh cilantro, mint, or basil. Crack a raw egg into the bowl before ladling in the hot soup. Top with crumbled rice crackers and perhaps ribbons of Korean toasted seaweed snacks (one pack of gim is enough for a batch). Stir well before eating. Drop 8 ounces of raw peeled shrimp into the soup as it heats. When the shrimp are pink and cooked through, ladle out the soup. Add slivered ginger and maybe some gim. Stir in raw or seared mushroom. Add a handful of shredded cooked chicken or some shrimp, or both.",overnight-porridge-congee-chao-andrea-nguyen-vietnamese-rice-soup,4,5.0,20.0,"savory, gingery, comforting","creamy, soft",This congee is a comforting breakfast – ginger and rice.,"Congee, Rice Porridge, Asian Breakfast",rice: jasmine; stock: broth,"Title: Super-Simple Overnight Porridge. Taste: savory, gingery, comforting. Texture: creamy, soft. Memory: This congee is a comforting breakfast – ginger and rice.. Similar dishes: Congee, Rice Porridge, Asian Breakfast"
Sourdough Rye Brownies,"72g (2¾ oz) wholegrain rye flour; 57g (2¼ oz) water; 36g (1½ oz) rye or wheat starter (8–12 hours after last refreshment); 194g (6¾ oz) wholegrain rye flour; 250g (9 oz)/5 whole eggs,beaten; 100g (3½ oz) sugar; 195g (6¾ oz) unsalted butter; 475g (1lb ½ oz) dark chocolate, at least 66% cocoa solids; 77g (3 oz) sugar; 265g (9¼ oz) dark brown sugar; 70g (2¾ oz) good quality cocoa powder; 5g (⅛ oz) vanilla extract; 3g (⅛ oz) baking soda; 2g (⅛ oz) sea salt, plus extra for sprinkling (optional)","Place all the stage 1 ingredients in a 300ml (?´ pint) jar or container with a lid, mix, cover and leave at warm room temperature for 4-6 hours. Place the stage 2 ingredients plus 125g (4 oz) of the starter in a large bowl, stir well with a whisk, cover and leave in a warm place for 1-2 hours or more time if it suits you. It won-t rise much but you should see some bubbles as evidence of fermentation on the surface of the mix. In the hour before you plan to do the final mix and bake, melt the butter and chocolate in a small heatproof bowl over a pan of simmering water. Set aside to cool for 30 minutes. Line a 25cm (10 in) square tin with baking parchment. Preheat the oven to 160?ßC/325?ßF/gas mark 3. Add the melted chocolate and butter plus the remaining stage 3 ingredients into the bowl with the batter. Whisk until well combined. Pour into the lined tin and smooth the top with the back of a spoon so it is evenly distributed. Bake for 30-40 minutes until the top looks dry but it still has a slight wobble. It-s difficult to overbake these. Sprinkle with additional sea salt, if liked, after they come out of the oven and leave to cool in the tin. When cool cut into squares to serve. The brownies can be stored in an airtight container for up to a week.",sourdough-rye-brownies,4,15.0,35.0,"rich, chocolatey, tangy","fudgy, dense",These brownies are a sourdough discard dream – rye and chocolate.,"Brownies, Sourdough Brownies, Rye Brownies",rye flour: whole wheat; chocolate: cocoa,"Title: Sourdough Rye Brownies. Taste: rich, chocolatey, tangy. Texture: fudgy, dense. Memory: These brownies are a sourdough discard dream – rye and chocolate.. Similar dishes: Brownies, Sourdough Brownies, Rye Brownies"
Smoked Trout Croquettes,"6 medium russet potatoes (about 2 1/2 lb. total), peeled, quartered; Kosher salt; 1/4 cup (1/2 stick) unsalted butter, cut into pieces; 1 oz. Parmesan, finely grated (about 1/4 cup); 1/4 cup chopped chives; 2 Tbsp. prepared horseradish; 1/2 tsp. freshly ground black pepper; 4 large eggs, lightly beaten, divided; 8 oz. smoked trout, skin and any large pin bones removed, shredded; 2 oz. low-moisture mozzarella, coarsely grated (about 1/2 cup); 2 cups panko (Japanese breadcrumbs); Canola or vegetable oil (for frying; about 6 cups); Lemon wedges (for serving)","Cover potatoes with cold salted water in a large pot. Bring to a boil over medium, covered, then reduce heat as needed to maintain a simmer until potatoes are tender, 20-30 minutes. Drain and transfer to a large bowl. Mash warm potatoes with butter, then stir in Parmesan, chives, horseradish, pepper, 2 beaten eggs, and 1/2 tsp. salt until smooth. Fold in trout and mozzarella. Form potato mixture into about 60 round croquettes (about 2 Tbsp. each). Place remaining 2 beaten eggs in a shallow bowl. Place panko in another shallow bowl. Dip 1 croquette into egg, letting excess drip off, then roll in panko to coat. Transfer to a parchment-lined rimmed baking sheet. Repeat with remaining croquettes. Pour oil into a large pot to a depth of 4"". Heat over medium-high until it sizzles when you toss in a pinch of panko or a deep-fry thermometer registers 350°. Working in batches, fry croquettes, turning occasionally, until golden brown, 4-5 minutes per batch. Transfer to paper towels to drain; season with salt. Serve immediately with lemon wedges alongside. Do Ahead: Croquettes can be formed and coated 2 days ahead. Cover and chill on baking sheet.",smoked-trout-croquettes,4,30.0,20.0,"savory, smoky, creamy","crispy outside, soft inside",These croquettes are an elegant appetizer – smoked trout and potatoes.,"Fish Croquettes, Trout Cakes, Salmon Croquettes",trout: salmon; horseradish: wasabi,"Title: Smoked Trout Croquettes. Taste: savory, smoky, creamy. Texture: crispy outside, soft inside. Memory: These croquettes are an elegant appetizer – smoked trout and potatoes.. Similar dishes: Fish Croquettes, Trout Cakes, Salmon Croquettes"
Smoked Salmon Tartare,"8 oz. smoked salmon, cut into 1/4"" pieces; 3 Tbsp. green peppercorns in brine or capers, drained, finely chopped; 2 tsp. finely grated lemon zest; 1/2 tsp. smoked paprika; 1/3 cup crème fraîche; Potato chips (for serving)","Toss salmon, peppercorns, lemon zest, and paprika in a medium bowl until combined. Gently fold in crme frache until combined (the mixture should be loose-don-t press it together and don-t chill it). Transfer to a serving bowl. Serve with potato chips alongside.",smoked-salmon-tartare,4,10.0,0.0,"savory, smoky, tangy","silky, smooth",This tartare is a luxurious starter – smoked salmon and crème fraîche.,"Salmon Tartare, Smoked Fish Appetizer",salmon: trout; capers: pickles,"Title: Smoked Salmon Tartare. Taste: savory, smoky, tangy. Texture: silky, smooth. Memory: This tartare is a luxurious starter – smoked salmon and crème fraîche.. Similar dishes: Salmon Tartare, Smoked Fish Appetizer"
Vanilla Butter Anchovy Toasts,"3/4 cup (1 1/2 sticks) unsalted butter, room temperature, cut into pieces; 1 Tbsp. vanilla bean paste; 1 Tbsp. vanilla extract; Pinch of kosher salt; 24 (1/4""–1/2""-thick) baguette slices, cut on a diagonal (from about 1 baguette); 24 oil-packed anchovy fillets; 2 Tbsp. extra-virgin olive oil; 1/2 tsp. freshly ground black pepper; 2 Tbsp. finely chopped parsley leaves","In the bowl of a stand mixer fitted with the whisk attachment or in a large bowl with a handheld mixer, beat butter on medium speed until smooth and fluffy. Add vanilla paste, vanilla extract, and salt and beat until combined. Transfer to a small bowl or resealable container; cover and chill until ready to use. Preheat oven to 400°F. Arrange bread in an even layer on 2 rimmed baking sheets. Toast until bread is lightly golden brown, 4-6 minutes. Meanwhile, toss anchovies, oil, and pepper in a small bowl. While toast is still warm, spread a thick layer of vanilla butter over each. Top with an anchovy fillet and transfer to a large platter. Scatter parsley over. Do Ahead: Vanilla butter can be made 5 days ahead. Transfer to an airtight container and chill.",vanilla-butter-anchovy-toasts,4,10.0,5.0,"savory, umami, buttery","crispy toast, melt-in-mouth",These toasts are a flavor bomb – vanilla butter and anchovies.,"Anchovy Toast, Savory Toast, Appetizer",anchovies: sardines; butter: vegan butter,"Title: Vanilla Butter Anchovy Toasts. Taste: savory, umami, buttery. Texture: crispy toast, melt-in-mouth. Memory: These toasts are a flavor bomb – vanilla butter and anchovies.. Similar dishes: Anchovy Toast, Savory Toast, Appetizer"
Lavash,"½ cup [70 g] all-purpose flour; ¼ cup plus a scant 1 Tbsp [70 ml] lukewarm water; ¼ tsp instant yeast; 1 cup [240 ml] lukewarm water; 1 Tbsp sunflower oil or other neutral oil; 2 tsp kosher salt; 3 cups plus 2 Tbsp [440 g] all-purpose flour, plus more for dusting","To make the old dough, using your hands or a rubber spatula, squish together the flour, water, and yeast in a bowl until it forms a thick paste. Scrape the paste into a small, lightly oiled container, cover, and let it sit out for 1?´ to 2 hours, or refrigerate overnight and bring to room temperature for at least 2 hours before using. When ready, the ball will have doubled in volume. In the bowl of a stand mixer, combine the old dough, water, oil, and salt. Squish the old dough with your hands to break it up in the water; it doesn-t have to be perfectly mixed in. Fit the stand mixer with the paddle attachment and add a third of the flour. Mix on low speed until the dough looks like pancake batter. Add the remaining flour and mix on low speed until incorporated. Remove the paddle attachment, pulling off any dough stuck to it. If there is flour at the base of the bowl, use your hands to press the dough into the flour. Cover the bowl with a kitchen towel and let the dough sit for 20 minutes to allow the flour to hydrate. Remove the towel and attach the dough hook to the stand mixer. Mix the dough on medium speed until the dough releases from the sides of the bowl without sticking and feels smooth to the touch, about 4 minutes. Turn the mixer off and reposition the dough to the center of the bowl if it seems to get stuck on one side of the bowl. Combine the old dough, water, oil, and salt in a large bowl and mix together, squishing the old dough into the water with your hands. Stir in the flour gradually with your fingers until a crumbly dough forms, then knead it a few times in the bowl by folding the dough over itself and pressing it down into the bowl. Cover the bowl with a kitchen towel and let the dough rest for 20 minutes. Dust the counter lightly with flour and place the dough on top. Begin kneading by stretching and folding the dough over itself until it is smooth to the touch, 5 to 7 minutes. Lightly oil an 8 cup [2 L] glass Pyrex or a large glass bowl and place the dough inside. Cover the bowl with a lid, a plate, or plastic wrap, and let it rest for 3 hours or until doubled in volume. Or refrigerate overnight and let the dough come to room temperature for at least 2 hours before portioning. To portion and shape the dough, dust the counter lightly with flour and place the dough on top. Using a bench scraper or knife, cut the dough into eight pieces about 3.5 oz [100 g] each. To shape the dough, cup the palm of your hand over one portion at a time and move your hand in a circle. The friction from the counter will help form the dough into a ball. If there is too much flour on the surface and the dough is sliding around, give the counter a spritz of water and try again. Lightly oil a rimmed tray and place the dough on the tray, ensuring that the portions are not touching. Cover with a kitchen towel or plastic wrap lightly coated with oil. Leave out for 1 to 1?´ hours, or until puffy, or refrigerate for up to 3 days. If you refrigerate the dough, use plastic wrap to cover it and expect it to take an hour or two to return to room temperature before it is ready to be rolled out. Dust the counter lightly with flour. Pat a portion of dough into an oval with your fingertips. Using a rolling pin and moving back and forth, roll the dough as thinly as possible into an oval about 13 by 9 in [33 by 23 cm]. If the dough resists stretching, let it relax and start working on another portion before returning to it. You can also gently stretch the dough with your hands to correct the shape. It doesn-t have to look perfect. Place a carbon-steel wok upside down over a burner. Have a pair of tongs handy. Heat the wok over high heat for 1 minute or until a sprinkle of water instantly evaporates. Drape the dough over the wok. Cook for 1 minute or until you can lift it easily from the wok with tongs and it has puffed slightly and blistered. Turn the dough over to briefly cook the other side, no more than 30 seconds. For extra browning, flip it over for another 30 seconds. Transfer the lavash to a half-sheet pan and cover with a dry kitchen towel while you cook the rest of the dough. In between batches, turn off the burner. The wok heats up quickly, and it will get too hot if the burner is left on. Place a 20 in [50 cm] cast-iron griddle over two burners. Heat the griddle over medium-high heat for a few minutes or until a sprinkle of water instantly evaporates. Drape the dough over the griddle. Cook for 1 minute or until you can lift the dough easily with tongs and it has puffed slightly and blistered. Turn the dough over to briefly cook the other side, no more than 30 seconds. For extra browning, flip it over for 30 more seconds. Transfer the lavash to a half-sheet pan and cover with a dry kitchen towel while you cook the rest of the dough. In between batches, keep the griddle turned on, but monitor its heat so it doesn-t get too hot. Have tongs, a pastry brush, a small bowl of vegetable oil, and 2 half-sheet pans ready. Coat one of the pans lightly with oil. Heat a gas grill over medium-high heat or prepare a charcoal grill for direct-heat cooking. Ensure that the grill grates are clean. The grill should be hot enough that you can only hold your hand over the grates for 3 to 5 seconds. Place a sheet of dough onto the oiled pan and brush oil on top. Drape the oiled dough over the grill. Cover the grill and cook for 25 seconds. Uncover the grill. Using tongs, turn the lavash over and let it cook for another 25 seconds, uncovered, or until evenly blistered and puffed in parts. Transfer to the clean half-sheet pan and cover with a dry kitchen towel while you cook the rest of the dough. Eat the lavash soon after making it or store it in plastic bags to keep the bread pliable. It-s okay if it dries out and turns brittle; just rehydrate it by misting the lavash with water and covering it with a towel to let it soften. Soon after, it should be pliable enough to roll up without cracking. If it-s still cracking, mist with more water.",lavash,4,30.0,20.0,"mild, wheaty","thin, pliable",This Armenian flatbread is perfect for wraps – soft and versatile.,"Flatbread, Lavash, Armenian Bread",bread flour: all-purpose; yeast: sourdough starter,"Title: Lavash. Taste: mild, wheaty. Texture: thin, pliable. Memory: This Armenian flatbread is perfect for wraps – soft and versatile.. Similar dishes: Flatbread, Lavash, Armenian Bread"
Rag Bolognese,"2 tablespoons butter; 2 tablespoons extra-virgin olive oil; 1 medium yellow onion, peeled and finely chopped; 2 small celery ribs, finely diced; 1 carrot, peeled and finely diced; 2 ounces prosciutto di Parma, finely chopped; ¾ pound ground beef chuck; ¾ pound ground pork; Salt and freshly ground black pepper; ½ whole nutmeg, finely grated; ½ cup dry white wine; 1 cup whole milk, hot; One 28-ounce can tomato purée; 1 cup chicken or beef stock","Heat the butter and oil together in a heavy large pot over medium heat. Add the onions, celery, and carrots and cook, stirring often with a wooden spoon, until the vegetables have softened and the onions are translucent, 5-10 minutes. Stir in the prosciutto. Add the ground chuck and pork, season to taste with salt and pepper, and cook, breaking up the clumps of meat with the back of the spoon, until the meat is no longer pink, 5-10 minutes. Avoid frying or browning the meat. Season the meat with nutmeg. Add the wine to the pot and cook until evaporated, 10-12 minutes. Reduce the heat to medium-low. Add the milk and cook, stirring occasionally, until absorbed, about 20 minutes. Meanwhile, heat the tomato pure and stock together in a saucepan until hot, then add it to the meat. Reduce the heat to low and gently simmer, stirring occasionally, until the meat is tender, 5-7 hours. Add water if needed to keep the rag loose and saucy. Season with salt and pepper.",ragu-bolognese-canal-house-cook-something,4,20.0,300.0,"rich, savory, meaty","thick, hearty",This Bolognese is a labor of love – slow-cooked and flavorful.,"Bolognese, Meat Sauce, Italian Ragu",beef: pork; prosciutto: bacon,"Title: Rag Bolognese. Taste: rich, savory, meaty. Texture: thick, hearty. Memory: This Bolognese is a labor of love – slow-cooked and flavorful.. Similar dishes: Bolognese, Meat Sauce, Italian Ragu"
Oysters with Balsamic,"24 raw oysters, freshly shucked; Balsamic vinegar",Spoon a few drops of vinegar over each oyster just before serving.,oysters-with-balsamicandnbsp,4,5.0,0.0,"briny, tangy, sweet","slippery, fresh",These oysters are a simple pleasure – balsamic and fresh oysters.,"Raw Oysters, Oyster Appetizer, Seafood",oysters: clams; balsamic: lemon juice,"Title: Oysters with Balsamic. Taste: briny, tangy, sweet. Texture: slippery, fresh. Memory: These oysters are a simple pleasure – balsamic and fresh oysters.. Similar dishes: Raw Oysters, Oyster Appetizer, Seafood"
Coconut Cabbage and Tofu With Lemongrass and Ginger,"1 (14.5-oz.) can coconut milk; 1 lemongrass stalk, top half trimmed, tough outer layers removed, thinly sliced; 4 garlic cloves; 1 2"" piece ginger, peeled, coarsely chopped; 1 Tbsp. kosher salt; 1 Tbsp. sugar; 1 tsp. ground turmeric; 1/2 tsp. ground coriander; 1/4 tsp. cayenne pepper; 1 (14-oz.) block firm or extra-firm tofu, drained; 1 small or 1/2 large head of cabbage (about 1 1/2 lb.), cut into 2"" wedges through core; 3 large carrots (about 1 lb.), peeled, cut into 2"" segments; Toasted coconut chips, steamed rice, and lime wedges (for serving; optional)","Place a rack in top third of oven; preheat to 425°F. Pure coconut milk, lemongrass, garlic, ginger, salt, sugar, turmeric, coriander, and cayenne in a blender until smooth. Squeeze tofu over a medium bowl or sink with your hands, gently at first, then more firmly to expel as much water as possible (like squeezing out a big sponge). Don-t worry if it starts to crack apart. When no more liquid comes out, tear tofu into 2"" pieces; discard liquid. Place in a shallow 13x9"" baking dish. Add cabbage and carrots, arrange in an even layer, and pour sauce over. Bake, basting the vegetables and tofu halfway through, until carrots are fork-tender, most of the liquid is evaporated, and the top is golden brown and lightly charred in places, 40-45 minutes. Let cool 5 minutes. Top with coconut chips (if using). Serve with rice and lime wedges alongside (if using).",coconut-cabbage-and-tofu-with-lemongrass-and-ginger,4,10.0,45.0,"savory, coconutty, aromatic","tender cabbage, soft tofu",This vegan dish is a flavor journey – coconut and lemongrass.,"Coconut Vegetables, Tofu Stew, Thai Veggies",tofu: tempeh; cabbage: bok choy,"Title: Coconut Cabbage and Tofu With Lemongrass and Ginger. Taste: savory, coconutty, aromatic. Texture: tender cabbage, soft tofu. Memory: This vegan dish is a flavor journey – coconut and lemongrass.. Similar dishes: Coconut Vegetables, Tofu Stew, Thai Veggies"
Pecan-Rye Pumpkin Pie,"¼ cup rye flour or all-purpose flour; 1 Tbsp. granulated sugar; ¾ tsp. kosher salt; 1½ cups all-purpose flour, plus more for dusting; ¾ cup (1½ sticks) chilled unsalted butter, cut into pieces; 1 large egg white, beaten to blend; 3 large eggs; 1 large egg yolk; 1 (15-oz.) can Libby’s 100% Pure Pumpkin; ¾ cup heavy cream; ¼ cup granulated sugar; 2 Tbsp. rye whiskey; 1 tsp. ground cinnamon; 1 tsp. ground ginger; ¼ tsp. freshly grated nutmeg; ¼ tsp. ground cardamom; Small pinch of ground cloves; 8 Tbsp. light brown sugar, divided; 3 Tbsp. unsalted butter, melted, divided; 1¼ tsp. Diamond Crystal or 1 tsp. Morton kosher salt, divided; 1½ cups whole pecans; 1 Tbsp. pure maple syrup; Whipped cream (for serving; optional)","Whisk rye flour, sugar, salt, and 1?´ cups all-purpose flour in a large bowl to combine. Add butter and toss to evenly coat. Working quickly and aggressively, use your fingers to rub butter into flour to create large shaggy pieces of dough (you want some pieces of butter that are flat and thin and some that are large and chunky). Drizzle 5 Tbsp. ice water over, running your fingers through flour mixture to evenly distribute. Knead dough in bowl until it starts to come together (it should look a little dry, but add more ice water by the teaspoonful if needed, just until dough comes together). Turn dough out onto a work surface and knead 1 or 2 more times, pressing to incorporate shaggy edges and any loose bits. Dust surface and dough lightly with flour to keep dough from sticking. Using your hands, form dough into about a 7x5"" rectangle. Using your rolling pin, gently tap and press dough to compact and tidy up edges. Roll out dough, dusting dough and surface as needed, until 3 times longer than when you started. Fold dough over onto itself in thirds like a letter to make a square. Wrap in plastic and chill until firm, at least 30 minutes. Preheat oven to 400°F. Roll out dough on a lightly floured surface to about a 12"" round. Wrap dough around your rolling pin and unfurl into a standard 9""-diameter pie dish. Gently lift dough so it slumps down into edges of dish. Trim overhang and crimp as desired. Line crust with parchment paper or foil. Place dish on a rimmed baking sheet and fill with pie weights or dried beans. Bake until edges of crust start to brown, about 20 minutes. Remove parchment and weights. Decrease oven temperature to 350° and bake crust until edges are golden, 20-25 minutes. Remove dish from oven and brush 1 Tbsp. egg white over bottom of crust. Return to oven and bake until crust is golden brown, 5-10 minutes (the egg creates a water-resistant coating that helps prevent the custard from making the bottom soggy). Reserve remaining egg white for topping. Do Ahead: Dough can be made 3 days ahead; keep chilled. Crust can be baked 3 days ahead; store tightly wrapped at room temperature. While your crust is baking, combine eggs, egg yolk, pie filling, cream, granulated sugar, whiskey, cinnamon, ginger, nutmeg, cardamom, cloves, 6 Tbsp. brown sugar, 2 Tbsp. butter, and ?´ tsp. Diamond Crystal or ?¨ tsp. Morton kosher salt in a large bowl and blend with an immersion blender until smooth; try not to aerate. (Alternatively, you can whisk mixture well and blend in 2 batches in a blender until smooth and homogenous.) Pour into crust and bake pie (still at 350°F) until filling is puffed and mostly set with just a slight wobble in the center when gently shaken, 40-45 minutes. Just before the pie is done baking, toast pecans on a rimmed baking sheet, tossing once, until slightly darkened and fragrant, 8-10 minutes. Whisk reserved egg white, remaining 2 Tbsp. brown sugar, and remaining tsp. salt in a small bowl until foamy, about 30 seconds. Add syrup and remaining 1 Tbsp. butter; whisk just to combine. Add pecans and toss to coat. Carefully remove pie from oven and top with pecan mixture, allowing any excess egg white mixture to drip back into the bowl. Return pie to oven and bake until filling is completely set (a tester or paring knife inserted into the center should come out clean) and nuts are not tacky to the touch, 8-10 minutes. Transfer pie to a wire rack and let cool, at least 2 hours. Serve with whipped cream if desired. Do Ahead: Pie can be baked 1 day ahead. Store uncovered in a cool oven or at room temperature.",pecan-rye-pumpkin-pie,4,30.0,80.0,"sweet, nutty, spiced","creamy filling, crunchy topping",This pumpkin pie is a twist on the classic – pecan and rye.,"Pumpkin Pie, Pecan Pie, Holiday Pie",pumpkin: butternut; rye whiskey: bourbon,"Title: Pecan-Rye Pumpkin Pie. Taste: sweet, nutty, spiced. Texture: creamy filling, crunchy topping. Memory: This pumpkin pie is a twist on the classic – pecan and rye.. Similar dishes: Pumpkin Pie, Pecan Pie, Holiday Pie"
Lemon Meringue Pie,1 Blind-Baked Pie Crust; 1 cup sugar; ⅓ cup cornstarch; 2 large eggs; 4 large egg yolks; Zest of 4 lemons; 1 cup fresh lemon juice; 1 tsp. kosher salt; 3 Tbsp. chilled unsalted butter; 4 large egg whites; ¾ cup sugar; ½ tsp. kosher salt; ¼ tsp. cream of tartar,"Whisk sugar and cornstarch in a large saucepan to combine. Add eggs and egg yolks and whisk vigorously, making sure to get into corners of pan, until smooth and pale. Whisk in lemon zest and juice, salt, and 1?´ cups water. Place saucepan over medium heat and bring to a simmer, whisking often and making sure to get into corners of pan, 8-10 minutes (mixture should be bubbling and thickened). Reduce heat and continue to simmer, whisking constantly, 3 minutes. Let cool 5 minutes, whisking every minute. Add butter to filling and whisk until melted and fully incorporated. Scrape filling into pie crust; smooth surface. Chill until cold and set, at least 2 hours and up to 3 days. Combine egg whites, sugar, salt, and cream of tartar in the bowl of a stand mixer or another large heatproof bowl; set over a large saucepan filled with 1"" simmering water (bowl shouldn-t touch the water). Heat, stirring constantly, until sugar is dissolved and mixture is warm to the touch, about 4 minutes. Fit bowl onto mixer fitted with whisk attachment (or use an electric mixer) and beat on medium-high speed until meringue is more than tripled in volume and medium peaks form, about 4 minutes. Transfer to a piping bag fitted with a large round tip (or a resealable plastic bag will work-just snip off a corner after bag is filled). Pipe meringue over filling and toast with a kitchen torch or under the broiler. Do Ahead: Pie (without meringue) can be made 2 days ahead. Keep chilled.",lemon-meringue-pie,4,30.0,60.0,"sweet, tart, creamy","smooth filling, fluffy meringue",This lemon meringue pie is a classic – tangy and light.,"Lemon Pie, Meringue Pie, Dessert",lemons: limes; cornstarch: flour,"Title: Lemon Meringue Pie. Taste: sweet, tart, creamy. Texture: smooth filling, fluffy meringue. Memory: This lemon meringue pie is a classic – tangy and light.. Similar dishes: Lemon Pie, Meringue Pie, Dessert"
Chocolate Pudding Pie,"1 Blind-Baked Pie Crust; ½ cup sugar; 3 Tbsp. unsweetened cocoa powder, preferably Dutch-process; 2 Tbsp. cornstarch; 2 large eggs; 2 large egg yolks; 2½ cups whole milk; 1 tsp. vanilla extract; ½ tsp. kosher salt; 4 oz. bittersweet chocolate, chopped; 1 tsp. unflavored powdered gelatin; 2 cups heavy cream; 2 Tbsp. sugar; 2 tsp. vanilla extract; 1 tsp. kosher salt","Whisk sugar, cocoa powder, and cornstarch in a large saucepan to combine. Add eggs and egg yolks and whisk vigorously, making sure to get into corners of pan, until smooth. Whisk in milk, vanilla, and salt. Place saucepan over medium heat and bring to a simmer, whisking often and making sure to get into corners of pan, 8-10 minutes (mixture should be bubbling and thickened). Reduce heat and continue to simmer, whisking constantly, 3 minutes. Let pudding cool 5 minutes, whisking every minute. Add chocolate to pudding and whisk until melted and fully incorporated. Scrape filling into pie crust; smooth surface. Chill until cold and set, at least 2 hours and up to 3 days. Stir gelatin and 1 Tbsp. water in a small bowl. Let sit until solidified, about 5 minutes. Microwave in 5-second intervals until melted, or set in a bowl of very hot water and let sit until melted. Using an electric mixer, beat cream, sugar, vanilla, and salt in a large bowl until soft peaks form. Add melted gelatin and beat until medium peaks form. Spoon whipped cream over filling, swirling as desired. Chill until set, about 1 hour. Dust with cocoa powder if desired. Do Ahead: Pie can be made 3 days ahead. Keep chilled.",chocolate-pudding-pie,4,20.0,60.0,"rich, chocolatey, creamy","smooth filling, crisp crust",This pudding pie is a chocolate lover's dream – silky and decadent.,"Chocolate Pie, Pudding Pie, Cream Pie",chocolate: cocoa; gelatin: agar-agar,"Title: Chocolate Pudding Pie. Taste: rich, chocolatey, creamy. Texture: smooth filling, crisp crust. Memory: This pudding pie is a chocolate lover's dream – silky and decadent.. Similar dishes: Chocolate Pie, Pudding Pie, Cream Pie"
Blind-Baked Pie Crust,"2 Tbsp. granulated sugar; 2 tsp. Diamond Crystal or 1 tsp. Morton kosher salt; 2⅔ cups all-purpose flour, plus more for dusting; 1½ cups (3 sticks) chilled unsalted butter, cut into ½"" pieces","Whisk sugar, salt, and 2- cups flour in a large bowl. Add butter and, using your fingers, smash each piece into a thin disk. Take your time doing this and don-t feel compelled to break butter into even smaller pieces. Drizzle - cup ice water over, dispersing it as widely as possible, and mix with a rubber spatula to bring mixture together into a shaggy mass. Turn dough out onto a surface and work together with your hands, pushing and flattening until dough holds together when squeezed in your palm but some streaks of dry flour are still visible. Divide dough into 2 portions. Flatten 1 portion of dough into an 8""-diameter disk. Cut into quarters, stack pieces on top of one another, and flatten dough with a rolling pin to about half of its original height. At this point dough should hold together with no dry spots remaining, and have nice big flakes of butter showing. Use a bench scraper or a large knife to clean any clingy bits of dough from surface. Dust surface with flour, then dust top of dough with flour. Roll out to a ?¨""--""-thick round. Wrap dough around rolling pin and transfer to a standard 9""-diameter pie dish. Unfurl into dish, then lift edges and allow dough to slump down into dish. Trim overhang to an even 1"" (there will be some excess). Fold overhang under and crimp as desired. Cover and chill until very cold, at least 1 hour and up to 12 hours (cover tightly if chilling longer than 1 hour). Repeat process with remaining dough and another pie dish. Or form into a 1?´""-thick disk, wrap in plastic, and chill up to 3 days (or freeze up to 1 month). Place a rack in middle of oven; preheat oven to 400°F. Lay 2 sheets of parchment paper over dough and fill with pie weights or dried beans (they should fill the dish). Set on a foil-lined rimmed baking sheet (this will keep any butter drips from smoking up your oven). Bake until edges are golden brown and bottom is opaque (carefully lift parchment to check), 30-35 minutes. Remove from oven; reduce oven temperature to 300°F. Lift out parchment and weights. Bake crust until evenly chestnut brown all over, 10-15 minutes. If baking both crusts, turn oven dial back up to 400°F and let oven preheat; repeat with remaining crust.",blind-baked-pie-crust,4,15.0,45.0,"buttery, flaky","crisp, tender",This crust is the foundation for any pie – perfectly blind-baked.,"Pie Crust, Pastry Dough, Pâte Brisée",butter: shortening; flour: gluten-free flour,"Title: Blind-Baked Pie Crust. Taste: buttery, flaky. Texture: crisp, tender. Memory: This crust is the foundation for any pie – perfectly blind-baked.. Similar dishes: Pie Crust, Pastry Dough, Pâte Brisée"
